city_name,country,wikidata_id,mayor_name,mayor_title
Al-Hamdanyia district,Iraq,,Isaam Bahnam Matti,Mayor of Al-Hamdanyia district
Amsterdam,the Netherlands,Q9899,Femke Halsema,Mayor of Amsterdam
Antsirabe,Madagascar,Q583184,Honoré Gabriel Rasamimanana,Mayor of Antsirabe
Artés,Spain,Q16677,Enric Forcada i Valiente,Mayor of Artés
Athens,Greece,Q1524,Konstantinos Bakogiannis,Mayor of Athens
Athens,USA,Q755425,Steve Patterson,Mayor of Athens
Athienou,Cyprus,Q570146,Kyriakos Kareklas,Mayor of Athienou
Atlanta,USA,Q23556,Andre Dickens,Mayor of Atlanta
Bafut,Cameroon,Q4841354,Ngwakongoh Lawrence,Mayor of Bafut
Balta,Ukraine,Q805554,Sergiiy Mazur,Mayor of Balta
Banjul,The Gambia,Q3726,Rohey Malick Lowe,Mayor of Banjul
Bar,Ukraine,Q737925,Volodymyr Savoliuk,Mayor of Bar
Barcelona,Spain,Q1492,Ada Colau Ballano,Mayor of Barcelona
Belen,Honduras,Q2355084,Jesus Amilcar Villanueva Benitez,Mayor of Belen
Belen Gualcho,Honduras,Q816339,Juan Francisco Vasquez,Mayor of Belen Gualcho
Bern,Switzerland,Q70,Alec von Graffenried,Mayor of Bern
Berovo,North Macedonia,Q827047,Zvonko Pekevski,Mayor of Municipality of Berovo
Bila Tserkva,Ukraine,Q33342,Hennadii Dykyi,Mayor of Bila Tserkva
Bilbao,Spain,Q8692,Juan Mari Aburto,Mayor of Bilbao
Bilhorod-Dnistrovskyi,Ukraine,Q672990,Vitalii Hrazhdan,Mayor of the Bilhorod-Dnistrovskyi
Bilopillya,Ukraine,Q58463780,YURII ZARKO,Mayor of Bilopillya
Bogotá,Colombia,Q2841,Claudia López Hernández,Mayor of Bogotá
Bolnisi,Georgia,Q653420,David Sherazadishvili,Mayor of Bolnisi
Braga,Portugal,Q83247,Ricardo Rio,Mayor of Braga
Bratislava,Slovakia,Q1780,Matus Vallo,Mayor of Bratislava
Bristol,UK,Q23154,Marvin Rees,Mayor of Bristol
Brovary,Ukraine,Q841026,Igor SAPOZHKO,Mayor of Brovary
Brussels,Belgium,Q111901161,Philippe Close,Mayor of Brussels
Budapest,Hungary,Q1781,Gergely Karácsony,Mayor of Budapest
Buenos Aires,Costa Rica,Q1648230,José Bernardino Rojas Méndez,Mayor of the Municipality of Buenos Aires
Buenos Aires,Argentina,Q1486,Horacio Rodríguez Larreta,Mayor of Buenos Aires
Bukavu,Democratic Republic of the Congo,Q222279,Meschac Bilubi Ulengabo,Mayor of Bukavu
Busia,Uganda,Q1280038,Amin Sadik,Mayor of Busia
Cape Town,South Africa,Q5465,Geordin Gwyn Hill-Lewis,Mayor of Cape Town
Charlotte,USA,Q16565,Vi Alexander Lyles,Mayor of Charlotte
Cherkasy,Ukraine,Q157055,Anatolii Vasyliovych Bondarenko,Mayor of Cherkasy
Chernivtsi,Ukraine,Q157725,Roman KLICHUK,Mayor of Chernivtsi
Chervonograd,Ukraine,Q106871027,Andriy Zalivskyy,Mayor of Chervonograd
Chokhatauri Municipality,Georgia,,Davit Sharashidze,Mayor of Chokhatauri Municipality
Choloma,Honduras,Q998218,Gustavo Antonio Mejía Escobar,Mayor of Choloma
Chornomorsk,Ukraine,Q889530,Vasyl Oleksandrovych Huliaiev,Mayor of Chornomorsk
Cleveland Heights,USA,Q248922,Kahlil Seren,Mayor of Cleveland Heights
Cololaca,Honduras,Q2234966,Bernandina Henrriquez Marquez,Mayor of Cololaca
Corquin Copan,Honduras,Q1119909,Amilcar Paz Mejia,Mayor of Corquin Copan
Corpus,Honduras,,Luis Andres Rueda Bellino,Mayor of Corpus
Danlí,Honduras,Q1958679,Abrham Kafati Diaz,Mayor of Danlí
Darmstadt,Germany,Q2973,Jochen Partsch,Lord Mayor of Darmstadt
Debar/Dibër Municipality,North Macedonia,Q689820,Hekuran Duka,Mayor of Debar/Dibër Municipality
Denver,USA,Q16554,Michael B. Hancock,Mayor of Denver
Dmanisi Municipality,Georgia,Q261243,Koba Muradashvili,Mayor of Dmanisi Municipality
Dnipro,Ukraine,Q48256,Borys Albertovych Filatov,Mayor of Dnipro
Dolores el Merendon,Honduras,Q2138937,Walter yony martinez,Mayor of Dolores el Merendon
Dortmund,Germany,Q1295,Thomas Westphal,Mayor of Dortmund
Drohobych,Ukraine,Q158821,Taras Kuchma,Mayor of Drohobych
Dublin,Ireland,Q1761,Alison Gilliland,Lord Mayor of Dublin
Dulce Nombre,Honduras,Q2392425,Jose Misael Ardon,Mayor of Dulce Nombre
Düsseldorf,Germany,Q1718,Dr. Stephan Keller,Mayor of Düsseldorf
Duyure,Honduras,Q2090091,Jorge Manrrique Pastrana Sanchez,Mayor of Duyure
El Paraiso,Honduras,Q597403,Ligia Isabel Lainez,Mayor of El Paraiso
El Porvernir,Honduras,Q1644891,Jose Luis Rubi Acosta,Mayor of El Porvernir
Entebbe,Uganda,Q211970,Fabrice Brad Rulinda,Mayor of Entebbe
Esse,Cameroon,Q5399420,Ndongo Boune Martin,Mayor of Esse
Fastiv,Ukraine,Q161984,Mykhailo Netiazhuk,Mayor of Fastiv
Florence,Italy,Q2044,Dario Nardella,Mayor of Florence
Florida Copan,Honduras,Q2392006,Rember Isaias Cuestas Valle,Mayor of Florida Copan
Fort Collins,USA,Q490732,Jeni Arndt,Mayor of Fort Collins
Fraternidad,Honduras,Q945066,Rene jobel pacheco,Mayor of Fraternidad
Freetown,Sierra Leone,Q3780,Yvonne Aki-Sawyerr,Mayor of Freetown
Gdańsk,Poland,Q1792,Aleksandra Dulkiewicz,Mayor of the City of Gdańsk
Georgetown,Guyana,Q10717,Ubraj Narine,Mayor of the City of Georgetown
Ghent,Belgium,Q1296,Mathias De Clercq,Mayor of Ghent
Gjakova,Kosovo,Q474651,Ardian Gjini,Mayor of the Municipality of Gjakova
Gjilan,Kosovo,Q739808,Alban Hyseni,Mayor of Municipality of Gjilan
Greater Manchester,UK,Q18125,Mayor Andy Burnham,Mayor of Greater Manchester
Guascoran,Honduras,Q2160059,Gaspar Paz,Mayor of Guascoran
Haarlemmermeer,The Netherlands,Q9924,Marianne Schuurmans-Wijdeven,Mayor of Haarlemmermeer
Hebron,Palestine,Q168225,Taysir Abu Snienah,Mayor of Hebron
Helsinki,Finland,Q1757,Juhana Vartiainen,Mayor of Helsinki
Hermosillo,México,Q189138,Antonio Francisco Astiazarán Gutiérrez,Mayor of Hermosillo
Hoboken,United States,Q138578,Ravinder S. Bhalla,Mayor of Hoboken
Hod - Hasharon,Israel,Q152379,Amir Kochavi,Mayor of Hod - Hasharon
Horishni Plavni,Ukraine,Q998227,Dmytro Bykov,Mayor of Horishni Plavni
Horodnya,Ukraine,Q1020058,Andrii Bohdan,Mayor of Horodnya
Iganga,Uganda,Q49298141,Bamulanzeki Derrick,Mayor of Iganga
ishongororo,Uganda,,MUGABE HASSAN,Mayor of ishongororo
Jackson,USA,Q28198,Chokwe Antar Lumumba,Mayor of Jackson
Jersey City,USA,Q26339,Steven M. Fulop,Mayor of Jersey City
Jinja,Uganda,Q501709,Kasolo Peter,Mayor of Jinja
Jutiapa,Honduras,Q775897,Oscar Arnulfo Ayala Bautista,Mayor of Jutiapa
Jwaneng,Botswana,Q165954,Olga Ditsie,Mayor of Jwaneng
Kalmunai,Sri Lanka,,Rakeeb Aboobucker,Mayor of Kalmunai
Kalush,Ukraine,Q146453,Andrii Naida,Mayor of Kalush
Kamianets-Podilskyi,Ukraine,Q193965,Mykhailo Positko,Mayor of Kamianets-Podilskyi
Kamianske,Ukraine,Q156719,Andrii Bilousov,Mayor of Kamianske
Kawempe Division,Uganda,,Dr. Emmanuel Serunjoji,Mayor of Kawempe Division
Kanifing Municpal Council,The Gambia,,Talib Ahmed Bensouda,Mayor of Kanifing Municpal Council
Kaniv,Ukraine,Q925340,Ihor Renkas,Mayor of Kaniv
Kansas City,USA,Q41819,Quinton Lucas,Mayor of Kansas City
Kaohsiung,Taiwan,Q181557,Chen Chi-Mai,Mayor of Kaohsiung
Karbinci,North Macedonia,,Viktor Paunov,Mayor of Karbinci
Karlsruhe,Germany,Q1040,Dr. Frank Mentrup,Mayor of Karlsruhe
Katowice,Poland,Q588,Marcin Krupa,Mayor of Katowice
Kavadarci,North Macedonia,Q158088,Mitko Janchev,Mayor of Kavadarci
Kearny,USA,Q776648,Alberto Gonzalo Santos,Mayor of Kearny
Khmilnyk,Ukraine,Q1011310,Yurchyshyn Mykola,Mayor of Khmilnyk
Klina,Kosovo,,Zenun Elezaj,Mayor of Klina
Konotop,Ukraine,Q162083,Artem Semenikhin,Mayor of Konotop
Kraków,Poland,Q31487,Jacek Majchrowski,Mayor of Kraków
Kriva Palanka,North Macedonia,Q578396,Sashko Mitovski,Mayor of Kriva Palanka
Kryvyi Rih,Ukraine,Q157137,Yurii Hryhorovych Vilkul,Mayor (Acting) of Kryvyi Rih
Kuntaur Area Council,The Gambia,,Saihou Jawara,Mayor of Kuntaur Area Council
Kyiv,Ukraine,Q1899,Vitaliy Klitschko,Mayor of Kyiv
La Campa,Honduras,Q2394060,Roberto de Jesus Santos,Mayor of La Campa
La Lima,Honduras,Q2279521,Santos Virgilio Lainez Rodriguez,Mayor of La Lima
La Masica,Honduras,Q2358954,Ovidio Naun Turcios Calidonio,Mayor of La Masica
La Paz,Mexico,Q1861497,Milena Paola Quiroga Romero,Mayor of La Paz
La Venta,Honduras,Q628829,José Adan Sierra Castro,Mayor of La Venta
